time	 cell
43.41428339286777	224.0
49.324257938833284	212.0
50.284971033956616	216.0
54.04861974152063	220.0
54.31524730100543	120.0
54.89988532991805	208.0
55.794656825594586	144.0
56.63840575035048	196.0
57.900000000104605	36.0
57.900000000104605	68.0
57.900000000104605	88.0
57.92500000010461	4.0
57.92500000010461	12.0
57.92500000010461	20.0
57.92500000010461	28.0
57.92500000010461	60.0
57.92500000010461	64.0
58.22500000010468	40.0
58.425000000104724	56.0
58.475000000104735	8.0
58.475000000104735	72.0
58.52500000010475	84.0
58.55478191834617	204.0
58.56855462493088	140.0
58.95000000010484	0.0
58.95000000010484	32.0
58.95000000010484	76.0
58.97500000010485	52.0
59.02500000010486	92.0
59.02500000010486	96.0
59.221713764369504	176.0
59.225000000104906	48.0
59.225000000104906	104.0
59.525000000104974	100.0
59.77500000010503	16.0
59.80000000010504	24.0
60.275000000105145	44.0
60.72500000010525	80.0
63.925000000105975	100.0
70.74443018717007	224.0
71.31861845910288	212.0
72.28681581217413	220.0
76.2183218843933	228.0
77.39166475953006	140.0
78.42909303121873	216.0
82.7044802496794	196.0
83.71427282044694	208.0
85.34148873390448	176.0
85.4061168351658	204.0
87.5637672022285	232.0
87.6592400769373	144.0
87.82298980205819	120.0
92.15000000011239	104.0
93.41428339286777	224.0
97.85294716342786	228.0
99.32425793883328	212.0
100.28497103395661	216.0
104.04861974152064	220.0
104.31524730100543	120.0
104.89988532991805	208.0
105.79465682559459	144.0
106.63840575035049	196.0
107.8680593426877	232.0
108.55478191834617	204.0
108.56855462493088	140.0
109.22171376436951	176.0
109.57500000011635	36.0
109.57500000011635	88.0
109.62500000011636	68.0
109.87500000011642	4.0
109.92500000011643	28.0
109.97500000011644	60.0
110.00000000011644	12.0
110.02500000011645	72.0
110.05000000011646	20.0
110.10000000011647	64.0
110.2250000001165	8.0
110.47500000011655	92.0
110.50000000011656	52.0
110.50000000011656	96.0
110.62500000011659	40.0
110.85000000011664	84.0
111.00000000011667	32.0
111.00000000011667	48.0
111.02500000011668	56.0
111.37500000011676	16.0
111.50000000011678	24.0
111.50000000011678	76.0
111.60000000011681	0.0
111.65000000011682	44.0
113.12500000011715	80.0
113.50850290121515	228.0
113.80000000011731	104.0
123.23161348972829	208.0
123.85866893118695	232.0
124.33442096122737	212.0
124.43092648683931	196.0
125.61064862805375	216.0
125.7116419067944	228.0
127.86791578629528	224.0
130.29457690101054	220.0
131.3810053825995	140.0
132.34383131235163	204.0
137.1562752124582	144.0
137.53065626005662	120.0
137.82500000011157	24.0
137.87500000011153	32.0
137.87500000011153	40.0
137.92500000011148	12.0
137.95000000011146	36.0
137.95000000011146	88.0
138.75000000011073	20.0
138.7750000001107	64.0
138.87500000011062	60.0
138.92500000011057	28.0
139.52500000011003	0.0
139.60000000010996	84.0
139.72500000010984	16.0
140.3250000001093	72.0
140.82500000010884	8.0
140.92500000010875	92.0
140.95000000010873	52.0
141.07594211211435	176.0
141.15000000010855	68.0
141.15000000010855	96.0
141.2000000001085	48.0
142.37500000010743	4.0
142.47500000010734	56.0
142.65000000010718	104.0
142.7500000001071	44.0
143.9153058675536	212.0
144.00000000010596	76.0
145.0665376791934	224.0
145.7683201077342	232.0
147.9777421859113	220.0
148.61673696857196	216.0
152.7605946625847	208.0
155.96925015561126	228.0
157.06353067732448	196.0
161.5732182731835	140.0
162.3562848180578	120.0
164.27967562967356	204.0
166.04225037325565	176.0
167.040730014689	144.0
168.86925521571453	216.0
169.07724646690474	232.0
169.5750000000827	88.0
170.07500000008224	72.0
170.1250000000822	40.0
170.47500000008188	28.0
170.73197462128252	224.0
170.9000000000815	36.0
171.37500000008106	32.0
171.88341014500446	208.0
173.79398240059058	212.0
176.02500000007683	104.0
181.0724221342204	220.0
182.09413509267276	144.0
182.25436478065885	120.0
182.5868520389714	204.0
186.15353025241265	140.0
188.26900206282943	176.0
190.38522202194721	196.0
194.1303556854241	220.0
197.2531654068136	224.0
201.9506336894393	208.0
202.70797051413768	140.0
203.7125971950911	216.0
203.93017607089888	212.0
204.356675905102	204.0
209.84005321038762	120.0
210.7578282370207	144.0
213.84456878801348	176.0
217.74094824236462	208.0
218.28467019890232	224.0
221.4966266923217	220.0
224.2980437006175	216.0
226.66935133536558	196.0
228.29366529531143	144.0
228.30161184880288	204.0
232.29127402780793	140.0
232.53941017391585	212.0
236.64330710497	120.0
236.8500000000215	100.0
242.49227906412418	224.0
243.69427232221685	176.0
248.36109404937386	196.0
250.80986587275976	216.0
251.56469721054506	220.0
252.00000000000773	104.0
253.5930155931798	208.0
254.24880076215683	144.0
255.13262076112284	196.0
256.8453477925652	212.0
